eanInSupplierOrderId,catalogId,supplierOrderId,eanOrderedQuantity,eanReceivedQuantity,productPurchaseCostExc,productVatRate,bestBeforeDate
,5492,1,252,252,2.4,0.2,
,5493,1,24,24,4.4,0.2,
,5494,1,42,42,8.75,0.2,
,5495,1,136,136,2.85,0.2,
,5496,1,24,24,4,0.2,
,5497,1,54,54,4,0.2,
,5498,1,30,30,3.5,0.2,
,5499,1,30,30,2.4,0.2,
,5500,1,300,300,2.4,0.2,
,5501,1,180,180,1.45,0.2,
,5502,1,108,108,3.45,0.2,
,5503,1,48,48,2.1,0.2,
,5504,1,72,72,2.85,0.2,
,5505,1,40,40,2.85,0.2,
,5506,1,80,80,2.85,0.2,
,5507,1,40,40,2.85,0.2,
,5508,1,18,18,2.85,0.2,
,5509,1,120,120,2.85,0.2,
,5510,1,16,16,2.85,0.2,
,5511,1,80,80,2.85,0.2,
,5512,1,20,20,2.85,0.2,