afnRemovalOrderDetailId,afnRemovalOrderId,skuId,fnsku,disposition,requestedQuantity,cancelledQuantity,disposedQuantity,shippedQuantity,inProcessQuantity,removalFee,currency
,1,3726,X001LR0G7V,Sellable,1,0,,0,1,,
,1,3806,X001QM06CV,Sellable,14,0,,0,14,,
,1,3808,X001QM06DP,Sellable,10,0,,0,10,,
,1,3815,X001QM08FL,Sellable,2,0,,0,2,,
,1,3813,X001QM08FV,Sellable,1,0,,0,1,,
,1,3809,X001QM3AEH,Sellable,150,0,,0,150,,
,1,3786,X001QM3GLJ,Sellable,2,0,,2,0,,
,1,4019,X001RAJE6L,Sellable,2,0,,2,0,,
,1,4021,X001RANPB1,Sellable,3,0,,3,0,,
,1,3893,X001RDXIJR,Sellable,1,0,,1,0,,
,2,3527,X001GXLJXP,Unsellable,1,0,,1,0,2.83,EUR
,2,4053,X001SOUDP7,Unsellable,1,0,,1,0,0.67,EUR
,3,3655,X001KK4125,Sellable,1,0,,1,0,0.67,EUR
,4,3640,X001KIKGCL,Unsellable,1,0,,1,0,0.39,EUR
,5,3655,X001KK4125,Sellable,8,0,,8,0,4.72,EUR
,5,3730,X001MFGU4Z,Sellable,5,0,,5,0,3.90,EUR
,5,3730,X001MFGU4Z,Sellable,1,0,,1,0,1.26,EUR
,5,3783,X001OBKL6F,Sellable,3,0,,3,0,1.77,EUR
,6,3640,X001KIKGCL,Unsellable,1,0,,1,0,0.39,EUR
,6,3788,X001QM3GKP,Unsellable,1,0,,1,0,7.92,EUR
,6,3881,X001RE2AAJ,Unsellable,1,0,,1,0,0.59,EUR
,6,4053,X001SOUDP7,Unsellable,1,0,,1,0,0.59,EUR
,7,3659,X001KK16GJ,Sellable,1,0,,1,0,0.41,EUR
,8,3950,X001RDSAV3,Unsellable,1,0,,1,0,1.26,EUR
,9,3655,X001KK4125,Sellable,11,11,,0,0,,
,9,3730,X001MFGU4Z,Sellable,4,4,,0,0,,
,9,3781,X001N4NHVT,Sellable,1,0,,1,0,0.59,EUR
,9,3779,X001N4Q8Y7,Sellable,3,0,,3,0,1.77,EUR
,9,3783,X001OBKL6F,Sellable,2,2,,0,0,,
,10,3779,X001N4Q8Y7,Unsellable,1,0,,1,0,0.59,EUR
,10,3950,X001RDSAV3,Unsellable,1,1,,0,0,,
,10,3881,X001RE2AAJ,Unsellable,1,0,,1,0,0.59,EUR
,11,1804,X0016K00BF,Sellable,1,1,,0,0,,
,11,3659,X001KK16GJ,Sellable,264,0,,264,0,108.24,EUR
,11,3655,X001KK4125,Sellable,51,15,,36,0,21.24,EUR
,11,3730,X001MFGU4Z,Sellable,117,1,,116,0,146.16,EUR
,11,3781,X001N4NHVT,Sellable,25,0,,25,0,14.75,EUR
,11,3780,X001N4NHX7,Sellable,22,0,,22,0,12.98,EUR
,11,3779,X001N4Q8Y7,Sellable,105,4,,101,0,59.59,EUR
,12,3779,X001N4Q8Y7,Unsellable,1,1,,0,0,,
,12,4026,X001RAHDX7,Unsellable,1,0,,1,0,1.00,EUR
,12,3935,X001RDQ94X,Unsellable,1,0,,1,0,1.00,EUR
,12,3950,X001RDSAV3,Unsellable,1,1,,0,0,,
,12,3913,X001RDXKDV,Unsellable,1,0,,1,0,0.78,EUR
,12,3883,X001RE2A9Z,Unsellable,1,0,,1,0,0.39,EUR
,12,3881,X001RE2AAJ,Unsellable,1,1,,0,0,,
,12,3849,X001RE5R09,Unsellable,1,0,,1,0,0.78,EUR
,15,3734,X001MNARR3,Sellable,32,0,,32,0,18.88,EUR
,15,3735,X001MNAW1T,Sellable,28,0,,28,0,16.52,EUR
,16,3650,X001KK412Z,Unsellable,9,0,,9,0,5.31,EUR
,16,3803,X001QM3GLT,Unsellable,1,0,,1,0,0.29,EUR
,16,3945,X001RDQDOJ,Unsellable,1,0,,1,0,1.54,EUR
,16,3950,X001RDSAV3,Unsellable,1,1,,0,0,,
,16,3881,X001RE2AAJ,Unsellable,1,1,,0,0,,
,17,3650,X001KK412Z,Unsellable,6,1,,5,0,2.95,EUR
,18,3728,X001LR0761,Sellable,1,0,,1,0,0.41,EUR
,19,3797,X001QM4R71,Unsellable,1,0,,1,0,0.29,EUR
,19,4024,X001RAJAZL,Unsellable,1,0,,1,0,0.65,EUR
,19,3950,X001RDSAV3,Unsellable,1,1,,0,0,,
,19,3977,X001RDXK95,Unsellable,1,1,,0,0,,
,19,3881,X001RE2AAJ,Unsellable,1,1,,0,0,,
,19,3855,X001RE2DGP,Unsellable,1,0,,1,0,2.00,EUR
,19,3957,X001RE2TGT,Unsellable,1,0,,1,0,0.39,EUR
,20,3709,X001KV12KD,Sellable,43,0,,43,0,17.63,EUR
,20,3727,X001LQYH3L,Sellable,6,0,,6,0,7.56,EUR
,20,3725,X001LQYH45,Sellable,9,0,,9,0,21.42,EUR
,20,3728,X001LR0761,Sellable,89,0,,89,0,36.49,EUR
,20,3723,X001LR079X,Sellable,22,0,,22,0,12.98,EUR
,20,3724,X001LR0D9R,Sellable,9,0,,9,0,21.42,EUR
,20,3726,X001LR0G7V,Sellable,76,0,,76,0,95.76,EUR
,21,3940,X001RDQEGL,Unsellable,1,0,,1,0,0.78,EUR
,21,3950,X001RDSAV3,Unsellable,1,1,,0,0,,
,21,3881,X001RE2AAJ,Unsellable,1,1,,0,0,,
,21,3920,X001RE2UX1,Unsellable,1,0,,1,0,1.54,EUR
,22,3976,X001RDSBSP,Unsellable,1,0,,1,0,0.39,EUR
,22,3913,X001RDXKDV,Unsellable,2,0,,2,0,1.56,EUR
,22,3881,X001RE2AAJ,Unsellable,1,1,,0,0,,
,22,3996,X001RF3C69,Unsellable,1,0,,1,0,0.39,EUR
,23,3837,X001RDQEPR,Unsellable,1,0,,1,0,1.00,EUR
,23,3881,X001RE2AAJ,Unsellable,1,1,,0,0,,
,24,3812,X001QM06BR,Unsellable,9,0,,9,0,5.31,EUR
,25,3389,X001FVI7LP,Unsellable,1,0,,1,0,1.00,EUR
,25,3730,X001MFGU4Z,Unsellable,1,0,,1,0,2.00,EUR
,26,3659,X001KK16GJ,Unsellable,1,0,,1,0,0.65,EUR
,26,3730,X001MFGU4Z,Unsellable,1,0,,1,0,2.00,EUR
,27,3540,X001GLFRIZ,Sellable,2,0,,2,0,0.58,EUR
,28,1654,X0016K311L,Unsellable,1,0,,1,0,0.78,EUR
,28,3516,X001GXJHPR,Unsellable,1,0,,1,0,4.00,EUR
,29,1654,X0016K311L,Unsellable,1,1,,0,0,,
,29,3742,X001MNARKF,Unsellable,1,0,,1,0,0.00,EUR
,30,3116,B005D4O0LS,Sellable,2,0,,2,0,1.30,EUR
,30,3117,B005D4O0OA,Sellable,1,0,,1,0,0.65,EUR
,30,674,X0011M6LDJ,Sellable,1,0,,1,0,1.00,EUR
,30,886,X0011PA0ER,Sellable,1,0,,1,0,1.00,EUR
,30,913,X0013CERFL,Sellable,1,0,,1,0,0.78,EUR
,30,959,X0013CEYGN,Sellable,1,0,,1,0,1.54,EUR
,30,976,X0013CFHJB,Sellable,1,0,,1,0,0.78,EUR
,30,1167,X0013LDLM7,Sellable,1,0,,1,0,0.39,EUR
,30,996,X0013LDMB7,Sellable,1,0,,1,0,0.78,EUR
,30,1169,X0013LDMBR,Sellable,1,0,,1,0,1.54,EUR
,30,1081,X0013LFPBR,Sellable,1,0,,1,0,0.39,EUR
,30,1051,X0013LFPFN,Sellable,1,0,,1,0,0.78,EUR
,30,1064,X0013LFPFX,Sellable,1,0,,1,0,0.39,EUR
,30,1122,X0013LGHL9,Sellable,1,0,,1,0,4.00,EUR
,30,1122,X0013LGHL9,Sellable,1,0,,1,0,1.54,EUR
,30,1195,X0013LGHNH,Sellable,1,0,,1,0,4.00,EUR
,30,1123,X0013LGIPJ,Sellable,2,0,,2,0,4.22,EUR
,30,1206,X0013V7O11,Sellable,1,0,,1,0,0.29,EUR
,30,1224,X0013VD965,Sellable,1,0,,1,0,0.65,EUR
,30,1246,X00142GBU9,Sellable,1,0,,1,0,1.00,EUR
,30,1381,X0014MYL2T,Sellable,1,0,,1,0,1.54,EUR
,30,1309,X0014N1ATF,Sellable,1,0,,1,0,1.00,EUR
,30,1471,X0014N1P4F,Sellable,1,0,,1,0,2.00,EUR
,30,1279,X0014N2SFF,Sellable,1,0,,1,0,2.00,EUR
,30,1366,X0014N2SHD,Sellable,1,0,,1,0,0.78,EUR
,30,1330,X0014N375P,Sellable,1,0,,1,0,0.39,EUR
,30,1365,X0014N378H,Sellable,1,0,,1,0,0.78,EUR
,30,1397,X0014N37AP,Sellable,1,0,,1,0,0.29,EUR
,30,1529,X00151MBKX,Sellable,1,0,,1,0,2.00,EUR
,30,1845,X0016JVA8D,Sellable,1,0,,1,0,1.00,EUR
,30,1723,X0016JVAHJ,Sellable,1,0,,1,0,0.29,EUR
,30,1603,X0016JVAIX,Sellable,1,0,,1,0,0.78,EUR
,30,1623,X0016JVAOR,Sellable,1,0,,1,0,0.39,EUR
,30,1702,X0016JVAPB,Sellable,1,0,,1,0,0.39,EUR
,30,2016,X0016JVAQ5,Sellable,1,0,,1,0,0.39,EUR
,30,1591,X0016K00DN,Sellable,1,0,,1,0,0.39,EUR
,30,1863,X0016K02WR,Sellable,1,0,,1,0,1.00,EUR
,30,1612,X0016K3175,Sellable,1,0,,1,0,0.65,EUR
,30,1887,X0016K4GO7,Sellable,1,0,,1,0,1.00,EUR
,30,2202,X00173L2GX,Sellable,1,0,,1,0,0.29,EUR
,30,2068,X00173UKO3,Sellable,3,0,,3,0,1.17,EUR
,30,2232,X00173UKRF,Sellable,1,0,,1,0,0.39,EUR
,30,2108,X00173UKST,Sellable,1,0,,1,0,0.78,EUR
,30,2211,X00173UKTX,Sellable,1,0,,1,0,0.29,EUR
,30,2188,X00173UKVV,Sellable,1,0,,1,0,0.39,EUR
,30,2097,X00173UKX9,Sellable,1,0,,1,0,0.39,EUR
,30,2200,X00173VKMJ,Sellable,1,0,,1,0,0.39,EUR
,30,2237,X00173VKOR,Sellable,1,0,,1,0,0.39,EUR
,30,2219,X00173VKPL,Sellable,1,0,,1,0,0.29,EUR
,30,2199,X00173VL73,Sellable,1,0,,1,0,0.39,EUR
,30,2247,X00176Z2Q1,Sellable,2,0,,2,0,0.58,EUR
,30,2371,X0017KFY0L,Sellable,1,0,,1,0,0.39,EUR
,30,2345,X0017KHV6V,Sellable,2,0,,2,0,0.58,EUR
,30,2388,X0017KHVC5,Sellable,1,0,,1,0,0.78,EUR
,30,2343,X0017KI057,Sellable,1,0,,1,0,0.39,EUR
,30,2309,X0017KI06L,Sellable,1,0,,1,0,0.39,EUR
,30,2374,X0017KI0BV,Sellable,1,0,,1,0,0.39,EUR
,30,2611,X0017KIJZX,Sellable,1,0,,1,0,0.39,EUR
,30,2500,X0017KIK39,Sellable,1,0,,1,0,0.39,EUR
,30,2402,X0017KIK4D,Sellable,1,0,,1,0,0.39,EUR
,30,2265,X0017KIK7F,Sellable,1,0,,1,0,0.78,EUR
,30,2311,X0017KIKD9,Sellable,1,0,,1,0,0.39,EUR
,30,2459,X0017KIKQV,Sellable,1,0,,1,0,0.39,EUR
,30,2493,X0017KIKVB,Sellable,1,0,,1,0,0.39,EUR
,30,2496,X0017KIKWF,Sellable,1,0,,1,0,0.39,EUR
,30,2633,X0017M7RJF,Sellable,1,0,,1,0,0.39,EUR
,30,2655,X0017MG7H3,Sellable,1,0,,1,0,0.39,EUR
,30,2658,X0017NX8J7,Sellable,1,0,,1,0,0.65,EUR
,30,2660,X0017TCSLF,Sellable,2,0,,2,0,2.00,EUR
,30,2759,X00187692F,Sellable,1,0,,1,0,0.39,EUR
,30,2818,X001876THF,Sellable,1,0,,1,0,0.78,EUR
,30,2836,X001877YPB,Sellable,1,0,,1,0,0.78,EUR
,30,2844,X001878AEF,Sellable,1,0,,1,0,0.39,EUR
,30,2845,X001878EI7,Sellable,1,0,,1,0,0.39,EUR
,30,2853,X00187GJW5,Sellable,1,0,,1,0,0.39,EUR
,30,2967,X0018FKIXX,Sellable,2,0,,2,0,0.78,EUR
,30,2935,X0018FKJ2X,Sellable,2,0,,2,0,1.56,EUR
,30,2876,X0018FKJAP,Sellable,2,0,,2,0,3.08,EUR
,30,2992,X0018FKJC3,Sellable,1,0,,1,0,0.78,EUR
,30,2902,X0018FKJHN,Sellable,1,0,,1,0,0.39,EUR
,30,2988,X0018FKJO1,Sellable,1,0,,1,0,0.78,EUR
,30,2981,X0018FM0R5,Sellable,1,0,,1,0,0.78,EUR
,30,3002,X0018PL4Y5,Sellable,1,0,,1,0,0.65,EUR
,30,3058,X0018XLFP5,Sellable,1,0,,1,0,0.39,EUR
,30,3056,X0018XLFR3,Sellable,1,0,,1,0,0.39,EUR
,30,3006,X0018XLFSR,Sellable,1,0,,1,0,0.39,EUR
,30,3063,X0018XMV49,Sellable,1,0,,1,0,0.78,EUR
,30,3032,X0018XNTO5,Sellable,1,0,,1,0,0.78,EUR
,30,3098,X0018XPSYJ,Sellable,1,0,,1,0,0.39,EUR
,30,3031,X0018XPT07,Sellable,1,0,,1,0,1.00,EUR
,30,3062,X0018XPT0R,Sellable,1,0,,1,0,0.78,EUR
,30,3167,X0019CBXLB,Sellable,1,0,,1,0,0.78,EUR
,30,3140,X0019CBYUV,Sellable,1,0,,1,0,0.39,EUR
,30,3133,X0019CBZCD,Sellable,1,0,,1,0,0.39,EUR
,30,3191,X0019CBZF5,Sellable,1,0,,1,0,0.78,EUR
,30,3273,X0019CBZKF,Sellable,1,0,,1,0,0.78,EUR
,30,3265,X0019CDJH7,Sellable,1,0,,1,0,0.78,EUR
,30,3232,X0019CDJIB,Sellable,1,0,,1,0,0.78,EUR
,30,3269,X0019CDJJ5,Sellable,3,0,,3,0,2.34,EUR
,30,3257,X0019CDJJF,Sellable,1,0,,1,0,0.39,EUR
,30,3260,X0019CDJJP,Sellable,1,0,,1,0,0.39,EUR
,30,3249,X0019CESSV,Sellable,1,0,,1,0,0.78,EUR
,30,3274,X0019CESTZ,Sellable,3,0,,3,0,1.17,EUR
,30,3293,X0019MZHQD,Sellable,5,0,,5,0,1.45,EUR
,30,3360,X001DZ73F9,Sellable,1,0,,1,0,1.54,EUR
,30,3377,X001DZ7F9N,Sellable,1,0,,1,0,1.54,EUR
,30,3343,X001DZ7FAH,Sellable,1,0,,1,0,0.39,EUR
,30,3349,X001DZ7FEX,Sellable,2,0,,2,0,1.56,EUR
,30,3389,X001FVI7LP,Sellable,1,0,,1,0,0.39,EUR
,30,3416,X001FVIVST,Sellable,3,0,,3,0,2.34,EUR
,30,3440,X001FVIVT3,Sellable,1,0,,1,0,0.78,EUR
,30,3540,X001GLFRIZ,Sellable,1,0,,1,0,0.29,EUR
,30,3505,X001GXLLE7,Sellable,1,0,,1,0,1.54,EUR
,30,3489,X001GXMDGH,Sellable,2,0,,2,0,1.56,EUR
,30,3561,X001HA938F,Sellable,3,0,,3,0,4.62,EUR
,30,3585,X001HA94V1,Sellable,1,0,,1,0,0.39,EUR
,30,3583,X001HA94VL,Sellable,1,0,,1,0,0.39,EUR
,30,3571,X001HABPNL,Sellable,1,0,,1,0,0.78,EUR
,30,3569,X001HABPOF,Sellable,1,0,,1,0,0.29,EUR
,30,3582,X001HABPOZ,Sellable,3,0,,3,0,2.34,EUR
,30,3564,X001HABPPT,Sellable,5,0,,5,0,1.95,EUR
,30,3567,X001HACUOJ,Sellable,2,0,,2,0,1.56,EUR
,30,3575,X001HACUP3,Sellable,1,0,,1,0,0.78,EUR
,30,3769,X001HTMSE7,Sellable,2,0,,2,0,0.78,EUR
,30,3767,X001HTMTNR,Sellable,5,0,,5,0,7.70,EUR
,30,3766,X001HTMTOB,Sellable,3,0,,3,0,1.17,EUR
,30,3754,X001HTSS55,Sellable,4,0,,4,0,3.12,EUR
,30,3750,X001HTSSAP,Sellable,2,0,,2,0,1.56,EUR
,30,3602,X001HVGSBJ,Sellable,3,0,,3,0,0.87,EUR
,31,3778,X001N4MSIH,Sellable,22,1,,21,0,8.19,EUR
,33,3739,X001MN9UET,Unsellable,1,0,,1,0,0.78,EUR
,34,3730,X001MFGU4Z,Unsellable,1,0,,1,0,2.00,EUR
,34,3772,X001N3BTPB,Unsellable,104,2,,102,0,79.56,EUR
,35,3713,X001KV12LH,Unsellable,4,0,,4,0,1.56,EUR
,35,3777,X001N4Q8ZL,Unsellable,1,1,,0,0,,
,36,3777,X001N4Q8ZL,Unsellable,1,1,,0,0,,
,37,3772,X001N3BTPB,Unsellable,105,105,,0,0,,
,38,3738,X001MNAW0Z,Unsellable,1,0,,1,0,0.78,EUR
,38,3777,X001N4Q8ZL,Unsellable,1,1,,0,0,,
,39,3772,X001N3BTPB,Unsellable,105,105,,0,0,,
,40,3777,X001N4Q8ZL,Unsellable,1,1,,0,0,,
,41,3611,X001ID0GNH,Unsellable,1,0,,1,0,0.00,EUR
,41,3777,X001N4Q8ZL,Unsellable,1,1,,0,0,,
,42,3602,X001HVGSBJ,Unsellable,1,0,,1,0,0.29,EUR
,43,3724,X001LR0D9R,Unsellable,1,0,,1,0,1.54,EUR
,44,3624,X001HWCTVB,Unsellable,10,0,10,,0,5.00,EUR
,45,3621,X001HWC8ZN,Unsellable,1,0,,1,0,0.39,EUR
,46,3611,X001ID0GNH,Unsellable,1,0,,1,0,0.00,EUR
,47,3586,X001HAB0XV,Unsellable,1,0,,1,0,0.29,EUR
,48,3586,X001HAB0XV,Unsellable,1,1,,0,0,,
,48,3621,X001HWC8ZN,Unsellable,1,0,,1,0,0.00,EUR
,48,3611,X001ID0GNH,Unsellable,2,0,,2,0,0.00,EUR
,49,3516,X001GXJHPR,Unsellable,1,0,,1,0,1.54,EUR
,49,3647,X001KK4B8J,Unsellable,1,1,,0,0,,
,50,3516,X001GXJHPR,Unsellable,1,1,,0,0,,
,50,3647,X001KK4B8J,Unsellable,1,0,,1,0,0.00,EUR
,51,3621,X001HWC8ZN,Unsellable,1,1,,0,0,,
,52,2870,X001891OUF,Unsellable,1,0,,1,0,1.00,EUR
,53,3622,X001HWD13V,Unsellable,28,0,,28,0,10.92,EUR
,54,3466,X001GFIF2L,Unsellable,1,0,,1,0,4.00,EUR
,54,3623,X001HWCU5L,Unsellable,4,3,,1,0,2.00,EUR
,54,3620,X001HYRWHP,Unsellable,1,0,,1,0,0.65,EUR
,55,3614,X001HWD35H,Sellable,88,0,,88,0,34.32,EUR
,56,3623,X001HWCU5L,Unsellable,3,3,,0,0,,
,57,3552,X001GZ0XSF,Unsellable,1,0,,1,0,0.65,EUR
,57,3623,X001HWCU5L,Unsellable,3,3,,0,0,,
,57,3611,X001ID0GNH,Unsellable,1,0,,1,0,0.55,EUR
,58,2741,X00180I6E1,Unsellable,1,0,,1,0,0.55,EUR
,58,2681,X00180K9NH,Unsellable,1,0,,1,0,0.55,EUR
,58,3623,X001HWCU5L,Unsellable,3,3,,0,0,,
,59,3121,X0019AF95J,Unsellable,1,0,,1,0,0.30,EUR
,59,3417,X001FVFLR3,Unsellable,2,0,,2,0,0.60,EUR
,59,3539,X001GLGPCH,Unsellable,1,0,,1,0,0.65,EUR
,59,3563,X001HABPP9,Unsellable,1,0,,1,0,1.00,EUR
,60,3392,X001FVFLNR,Unsellable,1,0,,1,0,4.00,EUR
,60,3417,X001FVFLR3,Unsellable,2,2,,0,0,,
,60,3623,X001HWCU5L,Unsellable,1,1,,0,0,,
,61,3545,X001GLJ03X,Unsellable,12,0,,12,0,3.00,EUR
,62,3409,X001FVIVW5,Sellable,1,0,1,,0,0.40,EUR
,63,3408,X001FVFLN7,Unsellable,1,0,,1,0,1.00,EUR
,63,3496,X001GXKNI7,Unsellable,1,0,,1,0,0.30,EUR
,64,2850,X001878EIH,Unsellable,1,1,,0,0,,
,64,3490,X001GXJHR5,Unsellable,1,0,,1,0,1.00,EUR
,65,3551,X001GLJ01F,Unsellable,1,0,,1,0,0.55,EUR
,66,3406,X001FVIVWF,Unsellable,1,0,,1,0,1.00,EUR
,67,2741,X00180I6E1,Unsellable,1,1,,0,0,,
,67,2681,X00180K9NH,Unsellable,1,1,,0,0,,
,67,3430,X001FVJPCZ,Unsellable,1,0,,1,0,1.00,EUR
,67,3394,X001FVJPEX,Unsellable,1,0,,1,0,0.30,EUR
,67,3468,X001GFIF35,Unsellable,1,0,,1,0,0.30,EUR
,68,3121,X0019AF95J,Unsellable,1,0,,1,0,0.30,EUR
,68,3335,X0019P927P,Unsellable,1,0,,1,0,0.30,EUR
,69,983,X0013CESKP,Sellable,1,0,,1,0,0.30,EUR
,69,931,X0013CF93Z,Sellable,1,0,,1,0,0.55,EUR
,69,984,X0013CFUWP,Sellable,3,0,,3,0,0.90,EUR
,69,1174,X0013LFFHB,Sellable,1,0,,1,0,0.30,EUR
,69,1019,X0013LFNYB,Sellable,2,0,,2,0,0.60,EUR
,69,1054,X0013LGHPF,Sellable,1,0,,1,0,0.55,EUR
,69,1127,X0013LGJKN,Sellable,2,0,,2,0,2.30,EUR
,69,1334,X0014MYLC9,Sellable,1,0,,1,0,0.30,EUR
,69,1322,X0014N1MMZ,Sellable,12,0,,12,0,3.60,EUR
,69,1397,X0014N37AP,Sellable,3,0,,3,0,0.90,EUR
,69,1977,X0016JVA6P,Sellable,1,0,,1,0,0.30,EUR
,69,1955,X0016JVA8N,Sellable,1,0,,1,0,0.30,EUR
,69,1742,X0016JVACT,Sellable,1,0,,1,0,1.15,EUR
,69,1607,X0016JVAL5,Sellable,1,0,,1,0,0.30,EUR
,69,1996,X0016JVATH,Sellable,1,1,,0,0,,
,69,1892,X0016JVAUL,Sellable,1,0,,1,0,0.30,EUR
,69,1819,X0016JVB5P,Sellable,1,0,,1,0,0.55,EUR
,69,1939,X0016JVB6J,Sellable,1,0,,1,0,0.30,EUR
,69,1633,X0016JVB87,Sellable,1,0,,1,0,0.30,EUR
,69,1787,X0016K00SN,Sellable,1,0,,1,0,0.55,EUR
,69,1817,X0016K00Y7,Sellable,1,0,,1,0,0.30,EUR
,69,1618,X0016K015F,Sellable,1,0,,1,0,0.25,EUR
,69,1749,X0016K017D,Sellable,1,1,,0,0,,
,69,1959,X0016K0187,Sellable,1,0,,1,0,1.15,EUR
,69,1838,X0016K01AF,Sellable,1,0,,1,0,0.55,EUR
,69,1974,X0016K02TF,Sellable,1,0,,1,0,0.55,EUR
,69,1632,X0016K02V3,Sellable,1,1,,0,0,,
,69,1653,X0016K030N,Sellable,1,0,,1,0,0.30,EUR
,69,1925,X0016K038F,Sellable,1,0,,1,0,0.55,EUR
,69,1926,X0016K30Z3,Sellable,4,0,,4,0,1.20,EUR
,69,1919,X0016K3107,Sellable,1,0,,1,0,0.30,EUR
,69,1957,X0016K316V,Sellable,1,0,,1,0,0.30,EUR
,69,1820,X0016K4CZ5,Sellable,1,0,,1,0,0.55,EUR
,69,1624,X0016K4DEZ,Sellable,1,0,,1,0,0.30,EUR
,69,2000,X0016K4GSD,Sellable,1,0,,1,0,0.30,EUR
,69,1949,X0016K4GT7,Sellable,1,0,,1,0,0.30,EUR
,69,1640,X0016K4GYH,Sellable,1,0,,1,0,0.25,EUR
,69,1880,X0016K4H0F,Sellable,1,1,,0,0,,
,69,1910,X0016K4H1T,Sellable,2,0,,2,0,0.60,EUR
,69,2203,X00173L25J,Sellable,1,0,,1,0,0.30,EUR
,69,2072,X00173L26N,Sellable,1,0,,1,0,0.25,EUR
,69,2079,X00173L2GD,Sellable,1,0,,1,0,0.30,EUR
,69,2159,X00173L2IL,Sellable,1,0,,1,0,0.30,EUR
,69,2065,X00173OOL3,Sellable,1,0,,1,0,0.55,EUR
,69,2026,X00173UKUR,Sellable,2,0,,2,0,1.10,EUR
,69,2226,X00173VKM9,Sellable,1,0,,1,0,0.30,EUR
,69,2062,X00173VKPV,Sellable,2,0,,2,0,0.60,EUR
,69,2029,X00173VKQ5,Sellable,5,0,,5,0,2.75,EUR
,69,2128,X00173VKRT,Sellable,1,0,,1,0,0.55,EUR
,69,2071,X00173VKSN,Sellable,3,0,,3,0,0.90,EUR
,69,2067,X00173VKV5,Sellable,5,0,,5,0,2.75,EUR
,69,2137,X00173VKZV,Sellable,1,0,,1,0,0.55,EUR
,69,2035,X00173VL0F,Sellable,3,0,,3,0,0.90,EUR
,69,2418,X0017KFXN9,Sellable,1,0,,1,0,0.30,EUR
,69,2378,X0017KFXQL,Sellable,1,0,,1,0,0.25,EUR
,69,2495,X0017KFXT3,Sellable,1,0,,1,0,0.55,EUR
,69,2268,X0017KFXZ7,Sellable,1,0,,1,0,0.30,EUR
,69,2434,X0017KFY2T,Sellable,1,0,,1,0,0.30,EUR
,69,2428,X0017KHVCZ,Sellable,1,0,,1,0,0.30,EUR
