eanInDonationId,donationId,ean,eanDonationQuantity
,1,9782368121207,1
,1,9782810418800,1
,1,9782810416561,2
,1,9782732881799,1
,1,9782226113870,1
,1,9782246672418,1
,1,9782365692069,1
,1,9782226243034,1
,1,8710908823688,1
,1,3545020022030,2
,1,3512391561147,2
,1,0093155149502,1
,1,3384442172790,1
,1,3357802492500,2
,1,3550460038893,2
,1,3475001004505,2
,1,5010994848484,2
,1,3344428054496,1
,1,3512391593407,5
,1,3346030024362,3
,1,3384442258418,3
,1,3700301019998,1
,1,3700619403670,5
,1,3760062466967,1
,1,9782749925981,1
,1,3600541274464,1
,1,5050582502862,4
,1,3600550253559,4
,1,3600550253597,5
,1,9782361882457,1
,1,9791024202426,2
,1,9782810422753,1
,1,9782732477725,1
,1,9782858295678,2
,1,9782822901611,1
,1,9791024201610,3
,1,9791024202150,1
,1,9782813216267,1
,1,9782732477107,2
,1,9791030101386,1
,1,9782271119735,1
,1,9782709661447,2
,1,9782361882167,1
,1,9782810421435,1
,1,9782361882051,1
,1,9782354901646,1
,1,9782354901684,2
,1,9782810424498,1
,1,9782858298013,1
,1,9782813213884,2
,1,9782813216427,4
,1,9782702913444,4
,1,9782221196342,9
,1,9782259227926,3
,1,9791024202259,1
,1,9782361882228,3
,1,9782738135117,3
,1,9782853276108,1
,1,9782271092861,1
,1,9782810422272,3
,1,9782021328363,2
,1,9782021332865,3
,1,9791027602384,1
,1,9782745965165,3
,1,9782271118073,1
,1,9782745960245,1
,1,9782732477749,1
,1,9791032900031,2
,1,9782021341935,2
,1,9782361882341,1
,1,9782745997494,4
,1,9782271121028,3
,1,9782271095053,1
,1,9782745996039,1
,1,9782707210258,2
,1,9782603025222,1
,1,9782361882297,2
,1,9782707206374,1
,1,0778988121733,3
,1,9782810422340,17
,1,9782810417216,1
,1,9782810417278,1
,1,9782263154621,3
,1,9782263153518,1
,1,9782263155673,3
,1,9782747052344,1
,1,9782849333204,1
,2,9782702913291,1
,2,9782822900171,1
,2,9782822901499,2
,2,9782732470863,1
,2,9782858298150,1
,2,9782271120755,2
,2,9782858298891,6
,2,9782702903704,2
,2,9782810418800,2
,2,9782858298860,1
,2,9782702913062,2
,2,9782813206930,3
,2,9782843193576,1
,2,9791032301234,1
,2,9791024202549,1
,2,9782813214355,1
,2,9782915810554,2
,2,9782813216564,1
,2,9791023508635,2
,2,9782354901578,2
,2,9782020968973,1
,2,9782324022302,2
,2,9782021140941,1
,2,9782412029190,2
,2,9782362900952,1
,2,9782889356072,3
,2,9782324022371,2
,2,9782754088879,2
,2,9781503706163,1
,2,9782848316499,1
,3,9782324020858,2
,3,9782754081955,1
,3,9782812200311,1
,3,5414834867602,1
,3,3417761939055,1
,3,3773554066514,4
,3,8711808808553,1
,3,9782263157097,2
,4,9782324021428,1
,4,9782324018794,3
,4,9782755636697,1
,4,9791030101065,1
,4,9782755623284,2
,4,9782755637427,6
,4,9782755628159,1
,4,9782408005856,7
,4,9791030101836,8
,4,9782412034002,1
,4,9782702914939,2
,4,9782702914304,2
,4,9782813216335,1
,4,9782813216342,1
,4,9782844457295,2
,4,9782844455284,2
,4,9782813216731,2
,4,9782412022610,1
,4,9782732470474,1
,4,9782732476407,1
,4,9782732484723,3
,4,9782732474854,1
,4,9782732477237,1
,4,9782732480329,1
,4,9782021351255,4
,4,9782227494794,1
,4,9782354901585,2
,4,9782813214263,2
,4,9791030101362,2
,4,9782354901806,5
,4,3086123415577,1
,4,9782732477572,1
,4,9782810419067,2
,4,9782846404259,1
,4,9782271093998,1
,4,9782271089984,2
,4,9782271117427,6
,4,9782810420810,1
,4,9782271094018,1
,4,9782271119100,1
,4,9782361882419,1
,4,9782361882945,3
,4,9782361883065,1
,4,9782821207684,1
,4,9782754072519,3
,4,9782821204973,1
,4,9782754018746,5
,4,9782821207943,1
,4,9782813217554,1
,4,9782849332177,1
,4,9782849334348,1
,4,9782226437457,1
,4,9782226400369,3
,4,9782226328755,1
,4,9782702913307,1
,4,9782747096652,1
,4,9791036303241,1
,4,9791036305054,1
,4,9782747086370,1
,4,9782813219732,1
,4,9782851809094,1
,4,9782702914687,1
,4,9782355362330,1
,4,9782226324795,1
,4,9782246863786,3
,4,9782702913444,1
,4,9782081422032,1
,4,9791022607216,1
,4,9782813215826,2
,4,9782851809568,8
,4,9782813215130,1
,4,9782081420823,4
,4,9782813216410,1
,4,9782813213198,1
,4,9782324012686,1
,4,9782813206800,1
,4,9782352043270,2
,4,9791024202662,1
,4,9782851809384,2
,4,9782813219015,3
,4,9782851809711,1
,4,9782702911525,1
,4,9791024202648,1
,4,9791024205014,1
,4,9782866811976,1
,4,9782866811990,1
,4,9782866812874,1
,4,9782866812140,1
,4,9782908606409,1
,4,9782908606911,7
,4,9782813218964,1
,4,9782813216892,1
,4,9782813219770,1
,4,9791024202747,1
,4,9791024202105,1
,4,9782732476445,1
,4,9782851809971,1
,4,9782702915219,1
,4,9782702915493,1
,4,9782702915295,1
,4,9782702915240,1
,4,9791021022720,1
,4,9782813220875,1
,4,9782813221070,2
,4,9782813219008,1
,4,9782813215765,1
,4,9782755641554,1
,4,9782755636512,2
,4,9782755633085,1
,4,9782755633436,1
,4,9782755629194,1
,4,9782755629705,1
,4,9782755629682,1
,4,9782755633269,1
,4,9782755637021,1
,4,9782755640076,1
,4,9782755629750,1
,4,9782843194290,2
,4,9782843194306,2
,4,9782843194252,1
,4,9782809823547,1
,4,9782749155906,1
,4,9782749109701,1
,4,9791028515720,1
,4,9782317016424,3
,4,9782707208460,3
,4,9782749932163,1
,4,9782749936994,1
,4,9782749930848,1
,4,9782749924373,1
,4,9782749929453,1
,4,9782749929088,2
,4,9782749931913,1
,4,9782749931333,1
,4,9782745997524,1
,4,9782408004736,1
,4,9782745985064,1
,4,9782745995056,1
,4,9782745983961,1
,4,9791032903247,2
,4,9782845927179,1
,4,9782810421398,1
,4,9782810427475,3
,4,9782757603581,2
,4,9782851809865,2
,4,9791036305221,1
,4,9782271119049,2
,4,9782271115539,2
,4,9782271120489,2
,4,9782271092625,2
,4,9782271120496,2
,4,9782271090836,1
,4,9782702915011,1
,4,9782702914434,1
,4,9791024202723,2
,4,9782081471023,2
,4,9791094689172,2
,4,9782813219534,2
,4,9782702915080,2
,4,9782809823127,1
,4,9782809822021,2
,4,9782501126762,2
,4,9782732470856,2
,4,9782749929286,2
,4,9791032900505,2
,4,9782750913274,2
,4,9782756427881,1
,4,9782354902094,2
,4,9782021304169,2
,4,9782234081048,2
,4,9791027606108,1
,4,9782841388356,1
,4,9782858298648,2
,4,9782858298877,2
,4,9782845638129,2
,4,9782845639171,1
,4,9782374930534,2
,4,9791032402252,1
,4,9782714457714,1
,4,9782908606980,1
,4,9782809821123,1
,4,9782354902070,1
,4,9782810417100,1
,4,9782745978981,1
,4,9782810427024,1
,4,9782810427031,2
,4,9782810425082,3
,4,9782810426492,1
,4,9782810425525,1
,4,9782841388394,1
,4,9782858299621,3
,4,9782858298112,1
,4,9782858299270,4
,4,9782226393807,1
,4,9782324026201,1
,4,9782324022128,1
,4,9782813218100,1
,4,9782757603734,1
,4,9782354902063,1
,4,9782354902049,1
,4,9782745994349,1
,4,9791030102499,1
,4,9782823614077,1
,4,9782361882938,4
,5,8718951153509,36
,5,3600550937435,36
,5,3574661248165,18
,5,3574661171296,13