eanInSupplierOrderId,ean,supplierOrderId,eanOrderedQuantity,eanReceivedQuantity,productPurchaseCostExc,productVatRate,bestBeforeDate
,8410436208611,1,252,252,2.4,0.2,
,0796708350263,1,24,24,4.4,0.2,
,0884486004260,1,42,42,8.75,0.2,
,5035832020440,1,136,136,2.85,0.2,
,0748378004342,1,24,24,4,0.2,
,0748378004229,1,54,54,4,0.2,
,0748378001013,1,30,30,3.5,0.2,
,0748378003154,1,30,30,2.4,0.2,
,0748378001112,1,300,300,2.4,0.2,
,0748378001105,1,180,180,1.45,0.2,
,0632169111077,1,108,108,3.45,0.2,
,3600550245868,1,48,48,2.1,0.2,
,5035832020273,1,72,72,2.85,0.2,
,5035832010410,1,40,40,2.85,0.2,
,5035832010427,1,80,80,2.85,0.2,
,5035832020501,1,40,40,2.85,0.2,
,5035832010557,1,18,18,2.85,0.2,
,5035832010564,1,120,120,2.85,0.2,
,5060148618524,1,16,16,2.85,0.2,
,5060148610870,1,80,80,2.85,0.2,
,5035832007816,1,20,20,2.85,0.2,